Trial,Program,n,W,T
2,mutex awesome,2,1000,1437232
2,clh homequeue,2,1000,1348112
2,clh awesome,2,1000,1502924
2,serial,2,2000,411942
2,lockfree,2,2000,706988
2,mutex homequeue,2,2000,692928
2,mutex awesome,2,2000,779208
2,clh homequeue,2,2000,698483
2,clh awesome,2,2000,796549
2,serial,2,4000,209330
2,lockfree,2,4000,362066
2,mutex homequeue,2,4000,356436
2,mutex awesome,2,4000,407322
2,clh homequeue,2,4000,360832
2,clh awesome,2,4000,410488
2,serial,2,8000,105364
2,lockfree,2,8000,183757
2,mutex homequeue,2,8000,182116
2,mutex awesome,2,8000,206253
2,clh homequeue,2,8000,181815
2,clh awesome,2,8000,209015
2,serial,3,1000,800907
2,lockfree,3,1000,1948381
2,mutex homequeue,3,1000,1857022
2,mutex awesome,3,1000,2134963
2,clh homequeue,3,1000,1961711
2,clh awesome,3,1000,2217893
2,serial,3,2000,412182
2,lockfree,3,2000,1017418
2,mutex homequeue,3,2000,995269
2,mutex awesome,3,2000,1163371
2,clh homequeue,3,2000,1022078
2,clh awesome,3,2000,1193356
2,serial,3,4000,209466
2,lockfree,3,4000,517242
2,mutex homequeue,3,4000,509881
2,mutex awesome,3,4000,607458
2,clh homequeue,3,4000,524622
2,clh awesome,3,4000,616082
2,serial,3,8000,105234
2,lockfree,3,8000,262377
2,mutex homequeue,3,8000,260952
2,mutex awesome,3,8000,310232
2,clh homequeue,3,8000,264776
2,clh awesome,3,8000,312936
2,serial,7,1000,799505
2,lockfree,7,1000,2885533
2,mutex homequeue,7,1000,2790490
2,mutex awesome,7,1000,3660945
2,clh homequeue,7,1000,2920247
2,clh awesome,7,1000,3278652
2,serial,7,2000,411103
2,lockfree,7,2000,1452251
2,mutex homequeue,7,2000,1463452
2,mutex awesome,7,2000,2639083
2,clh homequeue,7,2000,1495805
2,clh awesome,7,2000,2720066
2,serial,7,4000,208670
2,lockfree,7,4000,753245
2,mutex homequeue,7,4000,749501
2,mutex awesome,7,4000,1403373
2,clh homequeue,7,4000,755824
2,clh awesome,7,4000,1421336
2,serial,7,8000,104937
2,lockfree,7,8000,375161
2,mutex homequeue,7,8000,374266
2,mutex awesome,7,8000,719440
2,clh homequeue,7,8000,382073
2,clh awesome,7,8000,725871
2,serial,13,1000,799721
2,lockfree,13,1000,2944071
2,mutex homequeue,13,1000,3555513
2,mutex awesome,13,1000,2683227
2,clh homequeue,13,1000,3114298
2,clh awesome,13,1000,2119163
2,serial,13,2000,412100
