T,n,hit rate,serial reads,serial writes,finelock reads,finelock writes,optimistic reads,optimistic writes
5,7,0.9,406221,399915,2483991,2269665,2523687,2313082
5,7,0.99,406656,400217,2476102,2252050,2484058,2317670
5,13,0.5,406964,401090,3555480,2598334,3155228,2604363
5,13,0.75,406762,398296,3693915,2723721,3525206,2718580
5,13,0.9,406362,399854,3835986,2689370,3394952,2855879
5,13,0.99,406209,399968,3699064,2520146,3743159,2740123
5,27,0.5,406814,400274,2065624,1752414,2118826,1776217
5,27,0.75,406976,398368,2695682,1830040,2698221,1703166
5,27,0.9,406400,400158,2448559,1738452,2462018,1751704
5,27,0.99,406288,400061,2358470,1766552,2295963,1566616
