trial,n,W,T,Serial,Parallel
6,28,4000,131072,33834.855,29472.496
6,28,8000,131072,67287.367,46040.551
7,2,1000,131072,325.959,358.473
7,2,2000,131072,634.041,650.122
7,2,4000,131072,1250.506,1283.289
7,2,8000,131072,2484.230,2516.172
7,3,1000,131072,651.284,395.816
7,3,2000,131072,1267.945,740.792
7,3,4000,131072,2501.888,1430.854
7,3,8000,131072,4967.893,2836.412
7,5,1000,131072,1304.294,454.654
7,5,2000,131072,2540.272,881.617
7,5,4000,131072,5011.150,1693.577
7,5,8000,131072,9953.351,3335.548
7,9,1000,131072,2612.057,703.175
7,9,2000,131072,5084.537,1349.770
7,9,4000,131072,10032.397,2645.072
7,9,8000,131072,19925.695,5242.612
7,14,1000,131072,4242.807,973.326
7,14,2000,131072,8264.764,1435.171
7,14,4000,131072,16297.482,2595.723
7,14,8000,131072,32372.488,5105.429
7,28,1000,131072,8808.246,13142.614
7,28,2000,131072,17156.391,12354.678
7,28,4000,131072,33835.199,23472.701
7,28,8000,131072,67206.977,43922.195
8,2,1000,131072,326.006,358.607
8,2,2000,131072,634.092,666.499
8,2,4000,131072,1250.479,1267.121
8,2,8000,131072,2483.568,2515.827
8,3,1000,131072,651.336,389.640
8,3,2000,131072,1268.089,740.823
8,3,4000,131072,2502.740,1432.983
8,3,8000,131072,4968.255,2858.794
8,5,1000,131072,1304.319,456.369
8,5,2000,131072,2540.082,866.552
8,5,4000,131072,5011.757,1682.289
8,5,8000,131072,9953.814,3339.336
8,9,1000,131072,2612.201,697.759
8,9,2000,131072,5084.546,1351.448
8,9,4000,131072,10032.216,2659.763
8,9,8000,131072,19927.104,5245.473
8,14,1000,131072,4243.674,753.442
8,14,2000,131072,8262.136,1328.458
8,14,4000,131072,16298.995,2571.906
8,14,8000,131072,32371.674,5127.648
8,28,1000,131072,8808.059,5741.311
8,28,2000,131072,17152.984,8823.946
8,28,4000,131072,33832.906,27301.359
8,28,8000,131072,67200.766,32675.537
9,2,1000,131072,325.738,341.771
9,2,2000,131072,633.874,666.866
9,2,4000,131072,1250.501,1266.998
9,2,8000,131072,2483.598,2516.067
9,3,1000,131072,651.310,419.096
9,3,2000,131072,1268.230,773.137
9,3,4000,131072,2502.027,1436.710
9,3,8000,131072,4968.111,2862.253
9,5,1000,131072,1304.293,453.472
9,5,2000,131072,2540.397,868.236
9,5,4000,131072,5011.076,1692.583
9,5,8000,131072,9953.814,3323.303
9,9,1000,131072,2612.181,699.895
9,9,2000,131072,5084.381,1347.042
9,9,4000,131072,10033.461,2655.913
9,9,8000,131072,19927.650,5253.603
9,14,1000,131072,4243.362,1178.420
9,14,2000,131072,8263.500,1364.624
9,14,4000,131072,16297.060,2604.332
9,14,8000,131072,32372.033,5115.518
9,28,1000,131072,8809.014,5477.109
9,28,2000,131072,17157.469,23916.512
9,28,4000,131072,33837.617,27106.416
9,28,8000,131072,67203.344,41150.125
10,2,1000,131072,325.647,341.882
10,2,2000,131072,633.927,666.656
10,2,4000,131072,1250.423,1267.117
10,2,8000,131072,2483.611,2516.174
10,3,1000,131072,655.477,409.677
10,3,2000,131072,1268.071,742.675
10,3,4000,131072,2501.707,1453.215
10,3,8000,131072,4968.391,2854.682
10,5,1000,131072,1304.134,449.911
10,5,2000,131072,2539.968,887.667
10,5,4000,131072,5011.752,1702.938
10,5,8000,131072,9954.377,3322.928
10,9,1000,131072,2612.497,702.223
10,9,2000,131072,5085.339,1351.391
10,9,4000,131072,10032.239,2648.078
10,9,8000,131072,19928.803,5260.750
10,14,1000,131072,4242.532,1112.310
10,14,2000,131072,8263.761,1326.159
10,14,4000,131072,16304.278,2568.062
10,14,8000,131072,32374.176,5125.570
10,28,1000,131072,8806.015,22664.912
10,28,2000,131072,17157.910,19628.061
10,28,4000,131072,33834.742,23696.305
10,28,8000,131072,67199.289,40952.473
11,2,1000,131072,325.882,358.488
11,2,2000,131072,634.151,666.922
11,2,4000,131072,1250.395,1283.607
11,2,8000,131072,2483.618,2515.298
11,3,1000,131072,651.141,389.889
11,3,2000,131072,1268.292,740.929
11,3,4000,131072,2502.040,1442.336
11,3,8000,131072,4968.530,2853.137
11,5,1000,131072,1304.194,452.369
11,5,2000,131072,2540.247,894.102
11,5,4000,131072,5011.365,1681.328
11,5,8000,131072,9954.519,3341.894
11,9,1000,131072,2612.947,714.260
11,9,2000,131072,5086.198,1378.501
11,9,4000,131072,10032.797,2682.172
11,9,8000,131072,19926.744,5250.611
11,14,1000,131072,4241.900,1036.227
11,14,2000,131072,8263.824,1305.201
11,14,4000,131072,16296.292,2615.478
11,14,8000,131072,32372.020,5115.862
11,28,1000,131072,8808.442,21044.076
11,28,2000,131072,17150.824,11519.809
11,28,4000,131072,33834.461,25426.832
11,28,8000,131072,67207.625,44475.754
